SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
Dominant-Wrist,sitting:-legs-straight,889.332729428,11.3731400939,887.079758382,13353.800957,23291.3542114,30238683.0926,0.38961038961,4087903.31077,0.681818181818,2417511.58417,0.681818181818,1567896.6834,1.28845025565e-08
Dominant-Wrist,sitting:-legs-straight,882.753588576,20.271044195,879.369660609,13139.3047381,23047.9151552,117348505.932,1.35922330097,8401760.3625,1.55339805825,8012011.81547,1.55339805825,7966947.48826,1.15827917038e-08
Dominant-Wrist,sitting:-legs-straight,904.493574113,15.249935615,909.413547293,13399.6293979,23643.0940234,38859710.6622,0.292207792208,3760448.36027,0.681818181818,2728700.19863,0.681818181818,2589559.43208,7.51955655943e-09
Dominant-Wrist,sitting:-legs-straight,901.374683496,16.0773656259,902.230569201,13433.889273,23532.4295813,60675823.4148,0.780065005417,7675910.86551,0.292524377031,4214305.26428,0.780065005417,5965430.92438,1.28562739081e-08
Dominant-Wrist,sitting:-legs-straight,906.651830292,7.66944580102,906.243344803,13698.598286,23812.0148664,21063840.1856,0.388768898488,1538464.75848,0.291576673866,971201.852603,0.777537796976,805038.461732,1.84566961704e-08
Dominant-Wrist,sitting:-legs-straight,910.484686629,5.6300959911,909.576274976,13740.3607303,23932.5450799,6306050.88567,0.485436893204,994910.621663,0.388349514563,555166.700645,1.06796116505,371358.55769,7.69795394939e-08
Dominant-Wrist,sitting:-legs-straight,914.108103594,6.60173919989,916.432758035,13718.5237908,23998.6764843,9928280.1674,0.487540628386,1912679.41757,0.390032502709,1241819.9571,0.780065005417,714598.616392,4.91062520563e-08
Dominant-Wrist,sitting:-legs-straight,916.571721086,3.03792988044,916.810776551,13844.1597073,23958.0998829,2386161.88237,0.489130434783,434193.017373,0.586956521739,241014.399513,0.880434782609,175966.336091,2.04986274568e-07
Dominant-Wrist,sitting:-legs-straight,911.560610045,5.05150028657,910.998627877,13761.2928898,23989.746789,5078103.44903,0.677419354839,718937.707608,0.967741935484,532404.358424,0.677419354839,659328.471938,1.33400069856e-07
Dominant-Wrist,sitting:-legs-straight,911.33356901,5.80345661162,910.650866139,13679.910124,23923.9723708,6885818.56634,0.487012987013,1350797.49283,0.584415584416,754303.400589,0.681818181818,590915.150986,7.0726956036e-08
Dominant-Wrist,sitting:-legs-straight,912.537592681,3.39033562202,912.320119256,13746.4101859,23877.6270178,955107.401043,0.583783783784,215585.016521,0.389189189189,161366.234665,0.583783783784,74322.8166568,6.11223180918e-07
Dominant-Wrist,sitting:-legs-straight,911.668682736,4.9505609283,912.777628998,13668.1281454,23872.4984449,5341116.38903,0.389189189189,1335016.15931,0.291891891892,782903.189736,0.875675675676,424010.555731,7.28666370178e-08
Dominant-Wrist,sitting:-legs-straight,911.683249167,3.13427110058,912.609445491,13756.4728037,23619.9133148,1215324.07407,0.781758957655,150269.247721,0.684039087948,140993.268842,0.781758957655,147106.66226,6.43251437485e-07
Dominant-Wrist,sitting:-legs-straight,913.544572733,1.13810879365,913.600569177,13832.3766215,23949.3770274,179947.645919,0.388349514563,7142.28533101,4.56310679612,6936.09132394,2.03883495146,2014.58389775,2.15812500675e-06
Dominant-Wrist,sitting:-legs-straight,906.205970551,13.3878734185,905.273991673,13520.2588733,23704.6060503,32596536.3755,0.778378378378,5013672.57964,1.07027027027,2408163.84728,0.778378378378,4725057.69286,2.3879174444e-08
Dominant-Wrist,sitting:-legs-straight,895.922813254,23.2223844951,901.723072337,13132.8573052,23388.0365358,96366446.0386,0.38961038961,11319094.3826,0.779220779221,9107038.65283,0.779220779221,7282063.5158,4.04300880261e-09
Dominant-Wrist,sitting:-legs-straight,897.890987571,23.6443092166,892.578287883,13273.8542255,23376.9844505,193684474.398,0.583783783784,18499673.8721,1.16756756757,16704174.9838,1.16756756757,17599779.12,3.01409695122e-09
Dominant-Wrist,sitting:-legs-straight,894.751410997,6.65846991332,895.041339827,13466.4672799,23480.075298,3390100.37112,0.486486486486,1283492.57486,0.972972972973,285113.728849,0.972972972973,154441.224943,1.43502089387e-07
Dominant-Wrist,sitting:-legs-straight,891.550410391,6.19147370147,890.066851422,13435.2299571,23362.0906171,5574100.22862,0.292207792208,1722388.18805,0.584415584416,1191603.83087,0.584415584416,426571.763405,5.24224144208e-08
Dominant-Wrist,sitting:-legs-straight,899.876108923,7.05135182814,898.901551895,13429.7064004,23603.8683059,12603765.6699,0.681081081081,2312051.52111,0.875675675676,2095885.30749,0.875675675676,1743891.0356,5.40379041406e-08
Dominant-Wrist,sitting:-legs-straight,898.709240047,5.0004128428,898.164238878,13571.7041671,23582.9180128,7869125.63642,0.585048754063,1235069.60831,0.68255687974,1139301.61749,1.17009750813,777031.57737,7.43473647638e-08
Dominant-Wrist,sitting:-legs-straight,903.724250099,17.555386441,898.267777447,13453.8947149,23545.3604559,38932780.0022,0.487540628386,8323900.42447,0.390032502709,4050496.21119,1.17009750813,1919131.50942,1.25226256219e-08
Dominant-Wrist,sitting:-legs-straight,893.374998866,11.9451606031,892.35418977,13335.9613077,23341.1335843,39968321.2736,0.293159609121,3576952.50326,1.95439739414,2678042.90885,1.95439739414,2578345.65952,7.33479915541e-09
Dominant-Wrist,sitting:-legs-straight,901.460182586,3.49876587071,902.328099973,13659.0896842,23746.3288952,1262933.55263,0.483870967742,268570.284227,0.58064516129,117021.864582,0.774193548387,136646.876456,3.83132562069e-07
Dominant-Wrist,sitting:-legs-straight,856.418310873,6.08522246146,856.319449738,12936.1114714,22475.2623566,11192894.0365,0.48596112311,1653122.5085,0.777537796976,1358464.48849,0.777537796976,1587864.7662,4.34169323433e-08
Dominant-Wrist,sitting:-legs-straight,852.805951636,9.2507603715,853.203375521,12668.1883867,22331.6504988,24475863.2867,0.780065005417,2905897.91447,1.2676056338,2758692.9231,0.780065005417,2954910.63252,3.18707861814e-08
