SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
Dominant-Wrist,sitting:-legs-straight,854.975905204,1.0946360708,854.888881668,12544.5005879,22299.242319,169450.635461,0.296377607025,9680.48649072,10.6695938529,5330.98420448,1.48188803513,2499.05749424,1.74904984109e-06
Dominant-Wrist,sitting:-legs-straight,855.781558052,1.05916717168,855.90828948,12844.2127046,21990.0905864,138434.632966,10.6345733042,4152.76280791,11.4223194748,3534.87442869,1.08315098468,2273.2321161,7.68201791437e-05
Dominant-Wrist,sitting:-legs-straight,855.32012747,1.0960571425,855.310469946,12894.5304296,22340.821941,177271.922337,9.26615553122,5642.26397619,2.76013143483,4783.27462797,0.78860898138,3625.92360675,5.22708582898e-05
Dominant-Wrist,sitting:-legs-straight,855.788510696,1.16342054479,855.874406674,12350.1969215,22121.4559647,178374.380054,0.591456736035,9016.64462476,9.16757940854,7730.40366931,1.18291347207,3199.98637452,3.3158166316e-06
Dominant-Wrist,sitting:-legs-straight,856.570505658,1.44275028042,856.524372099,12386.2870143,22237.2576097,269598.321751,0.492341356674,25120.9058406,1.77242888403,15615.466807,1.77242888403,14471.1568263,1.82620334384e-06
Dominant-Wrist,sitting:-legs-straight,856.096469866,1.04168324664,856.015770883,12178.0980863,22246.5179523,162639.170867,5.32311062432,5168.3674886,10.0547645126,4770.36573376,1.18291347207,3103.04538751,3.27295730539e-05
Dominant-Wrist,sitting:-legs-straight,855.969918831,0.941616291821,855.960863591,12735.5346963,22244.7220931,147788.83101,10.1756311745,5084.403882,9.08891328211,4475.88955966,1.77826564215,3121.834604,6.88525046514e-05
Dominant-Wrist,sitting:-legs-straight,856.515887046,1.61245206297,856.580410703,12873.0250136,22201.9494865,160041.388217,8.79253567508,7923.15068037,2.56860592755,5624.40448901,0.790340285401,4652.77464264,5.49391365135e-05
Dominant-Wrist,sitting:-legs-straight,856.239403965,1.0459802289,856.103381608,11275.676166,22233.6170697,144100.4466,5.23600439078,5353.24004298,1.28430296378,4475.81681003,1.28430296378,3401.72815093,3.63357957196e-05
Dominant-Wrist,sitting:-legs-straight,855.864780075,0.964977237166,855.930487832,12819.2446735,21842.1965928,150547.632319,6.4989059081,5610.7920164,11.1269146608,5501.17725272,1.57549234136,1897.66506808,4.31684365139e-05
Dominant-Wrist,sitting:-legs-straight,855.910398578,1.02401075546,855.930487832,12676.0738401,22373.5778542,146338.020748,9.375,5819.7977817,7.20394736842,5184.78390227,2.17105263158,2124.91775661,6.40640070986e-05
Dominant-Wrist,sitting:-legs-straight,855.765478831,0.943941194484,855.874406674,12732.0658968,22321.7839341,130663.921775,10.547645126,3524.52054138,10.0547645126,3130.88572313,0.985761226725,2730.80718553,8.0723469667e-05
Dominant-Wrist,sitting:-legs-straight,842.916453395,18.3676281111,848.831549838,15091.1845128,26762.8113434,139381554.297,0.394448502557,15524133.2875,0.591672753835,15369799.1877,0.591672753835,7437507.39901,2.82999070104e-09
