SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
Dominant-Wrist,sitting:-legs-straight,832.380924487,1.25174375048,832.372512761,12095.1882581,21354.1288045,253023.934,0.401785714286,21631.6178405,0.301339285714,17907.9028492,1.00446428571,8561.12506724,1.58793560725e-06
Dominant-Wrist,sitting:-legs-straight,832.43423919,1.29073449161,832.577323736,11922.7189433,21356.63068,154529.021132,0.714285714286,7232.53948757,0.30612244898,5930.18692335,0.714285714286,4899.69451486,4.62234025073e-06
Dominant-Wrist,sitting:-legs-straight,831.326662767,1.3047478698,831.395814279,11935.2448655,21229.5497597,265072.735618,0.402684563758,36838.3410992,0.503355704698,14462.2687977,0.805369127517,10167.5517679,1.51914742502e-06
Dominant-Wrist,sitting:-legs-straight,831.407286082,1.09951376196,831.505261559,12198.3086123,21443.8040002,148023.538569,8.92976588629,4877.5030115,9.03010033445,4847.83728632,2.10702341137,2897.89909511,6.03266613716e-05
Dominant-Wrist,sitting:-legs-straight,831.721130418,1.00600460425,831.670006673,12090.6697499,21581.5645633,147905.914345,1.69060773481,3976.282276,8.05524861878,3848.86827485,1.69060773481,4215.06381615,1.14302916303e-05
Dominant-Wrist,sitting:-legs-straight,831.404848215,1.03800456236,831.505261559,12227.8827276,20872.5390166,144223.841561,6.97038724374,3942.81526431,0.410022779043,3227.24808004,0.922551252847,2936.77773483,4.83303396184e-05
Dominant-Wrist,sitting:-legs-straight,831.375153436,1.04347088171,831.505261559,12422.9849473,21684.0776378,162216.886355,2.97356828194,8048.87300186,0.396475770925,5252.53693567,0.79295154185,2387.34064791,1.833081838e-05
Dominant-Wrist,sitting:-legs-straight,831.511784323,1.12242257121,831.531719179,12423.4699662,21202.6305915,176667.392413,0.398230088496,9104.02909545,5.97345132743,4589.27810973,2.28982300885,2488.15734012,2.25412331646e-06
Dominant-Wrist,sitting:-legs-straight,831.786189807,1.00673515057,831.697661413,12429.6147165,21615.3276172,170215.842896,0.697674418605,5903.94257189,1.39534883721,4230.73362138,1.39534883721,3498.68784141,4.0987631159e-06
Dominant-Wrist,sitting:-legs-straight,832.170862869,1.16303085065,832.205503467,12321.3957407,21398.1868858,254881.408541,7.55879059351,18195.5845925,6.14781634938,9123.86673344,0.806270996641,5400.11520783,2.96561080574e-05
Dominant-Wrist,sitting:-legs-straight,832.164748916,1.1266831287,832.205503467,12123.4667072,21575.9334908,214138.550031,6.21380846325,9732.20260525,8.01781737194,6773.86971618,1.40311804009,3504.94923394,2.90177012142e-05
Dominant-Wrist,sitting:-legs-straight,831.637373399,1.14544540567,831.560581076,12115.7296933,21368.7881032,167392.487498,4.08163265306,5605.10533462,5.61224489796,4532.04390623,0.918367346939,3150.13741795,2.43836071384e-05
Dominant-Wrist,sitting:-legs-straight,831.115728621,1.139782338,831.023465373,12361.9885941,21611.8659537,188782.012517,10.7920792079,5429.90462343,1.18811881188,4817.59719177,1.18811881188,4385.23254338,5.7166882925e-05
Dominant-Wrist,sitting:-legs-straight,831.428922368,1.07931824581,831.425883648,12423.2174576,21477.0535456,158924.912722,12.9720670391,6207.73327011,0.703910614525,5492.30799622,0.703910614525,4371.88413277,8.16238739221e-05
Dominant-Wrist,sitting:-legs-straight,827.440488104,7.39735279172,831.395814279,12209.6253423,21401.0706508,1122004.57591,0.501113585746,332519.427958,0.400890868597,147103.292758,0.801781737194,89215.112582,4.4662347775e-07
Dominant-Wrist,sitting:-legs-straight,815.693299692,12.7233030004,810.623217037,12056.661727,21007.3529508,5891688.96536,0.800889877642,373264.544382,0.500556173526,257460.857749,0.800889877642,288161.361962,1.35935532638e-07
Dominant-Wrist,sitting:-legs-straight,859.730445913,27.1788284872,866.431758713,12407.5531834,22014.6014499,29568714.7341,0.301339285714,7082748.00106,0.401785714286,2710969.76155,0.703125,1741227.94486,1.01911526566e-08
Dominant-Wrist,sitting:-legs-straight,831.339647286,1.05299502041,831.425883648,12310.9660466,20803.8284457,171581.985589,0.602006688963,6281.91341389,1.80602006689,5290.03602275,1.80602006689,5091.47772021,3.50856581415e-06
Dominant-Wrist,sitting:-legs-straight,827.262836958,4.08106133605,826.101083403,12312.2867494,21144.3221693,2732654.38853,0.401785714286,298671.27274,0.602678571429,206881.783677,1.10491071429,181096.390639,1.47031295276e-07
Dominant-Wrist,sitting:-legs-straight,825.415740544,1.08247866067,825.46956334,12222.5676108,21128.8430351,171492.767677,8.08080808081,5961.49481742,9.19191919192,4457.64957839,1.11111111111,3019.9890544,4.71204015788e-05
Dominant-Wrist,sitting:-legs-straight,825.562635125,1.03691694134,825.628245641,12363.0245086,21390.0363487,141251.148264,7.7085650723,5683.11998267,3.10344827586,3815.89426895,1.60177975528,3640.25527701,5.45734683721e-05
Dominant-Wrist,sitting:-legs-straight,825.369384614,1.096872718,825.401720376,12137.6545098,21336.3387206,180437.527336,8.46584546473,6075.80769585,2.11646136618,5597.2168825,2.21724524076,4269.57450117,4.69184298283e-05
Dominant-Wrist,sitting:-legs-straight,825.141851195,1.06190458746,825.174526994,11908.4029156,21346.902328,163385.69583,0.703910614525,5716.66600825,2.91620111732,5713.74876666,0.703910614525,4552.50339252,4.30827564769e-06
Dominant-Wrist,sitting:-legs-straight,824.376263706,1.75316612982,824.633251816,12246.4857408,21063.9417726,207004.684903,0.505617977528,12784.6698193,1.31460674157,7117.50609143,0.910112359551,8546.03058444,2.44254364468e-06
Dominant-Wrist,sitting:-legs-straight,823.735573867,4.49927513263,825.683958909,8722.36166414,15054.6946166,725537.204874,0.391304347826,100812.141295,0.586956521739,74555.9237709,1.17391304348,73742.1871654,5.39330505999e-07
Dominant-Wrist,sitting:-legs-straight,822.153471762,9.92826999721,822.958686691,12142.9744709,21216.0190187,7717388.69004,1.40782122905,562595.585506,1.50837988827,556644.918397,1.60893854749,162646.141265,1.82421967532e-07
Dominant-Wrist,sitting:-legs-straight,816.060782662,1.63065113933,816.025122162,12023.7840965,20917.5838471,420970.294858,3.42665173572,12719.9320285,4.13213885778,12233.2859363,0.907054871221,8064.2684571,8.13988962541e-06
Dominant-Wrist,sitting:-legs-straight,816.421526083,6.23219821172,815.606522687,12094.2662035,21063.1570046,8685189.52008,1.40939597315,751630.283244,1.61073825503,648115.429434,2.11409395973,262274.957447,1.62275787983e-07
Dominant-Wrist,sitting:-legs-straight,829.84121937,2.26516932226,829.376874527,12130.7737593,21403.1751149,301554.578314,0.401785714286,38765.253075,0.502232142857,17044.3821075,0.904017857143,4938.06036316,1.33238141013e-06
Dominant-Wrist,sitting:-legs-straight,823.753618181,20.0411029365,819.645655146,11969.2732444,21119.2806459,124464956.968,0.703910614525,25148815.4811,0.804469273743,19636241.314,0.703910614525,23209317.3204,5.65549237048e-09
Dominant-Wrist,sitting:-legs-straight,817.906172518,1.16804146932,817.861846524,11716.9790902,20935.4256465,185247.117895,11.3758389262,7640.76717149,0.402684563758,6783.71900682,0.704697986577,3637.98933767,6.14089927845e-05
Dominant-Wrist,sitting:-legs-straight,817.868585634,1.11670252624,817.861846524,12137.469382,21158.1176148,152650.044644,1.60893854749,4685.79646341,5.93296089385,3857.55341976,1.60893854749,3753.1104807,1.05400463605e-05
Dominant-Wrist,sitting:-legs-straight,816.911985564,1.37758091525,817.141970529,12089.8679066,21004.5025173,222067.159691,0.404494382022,12828.7872826,0.606741573034,10634.9631095,0.808988764045,9084.80116588,1.82149572492e-06
Dominant-Wrist,sitting:-legs-straight,817.936567038,1.2028185213,817.861846524,11859.1807053,21190.2185454,159883.218664,6.02006688963,5449.90615451,6.32107023411,4687.4017676,1.00334448161,1933.62997781,3.76529002852e-05
Dominant-Wrist,sitting:-legs-straight,817.640780568,1.08004358804,817.786035586,12023.7386449,20977.678351,162540.188441,11.8924972004,5891.61080605,7.45800671892,4900.89279937,1.5117581187,3553.72416311,7.31665030939e-05
Dominant-Wrist,sitting:-legs-straight,817.224320931,1.08523501528,817.293704858,11934.2834724,21046.6042154,155309.086649,2.01342281879,4938.72244084,13.5906040268,4893.86585745,2.01342281879,4692.98313553,1.29639730826e-05
Dominant-Wrist,sitting:-legs-straight,816.963468164,1.21915035737,817.083227095,11815.7849506,21054.1979187,207669.413557,4.921875,8311.98369621,6.42857142857,7199.17234242,0.904017857143,4179.1770531,2.37005292002e-05
Dominant-Wrist,sitting:-legs-straight,817.558846069,1.00235861206,817.43073101,11191.1709843,21166.6831129,121278.348425,7.64245810056,3636.5309008,11.5642458101,3374.00913558,1.20670391061,2303.59456068,6.3015849076e-05
Dominant-Wrist,sitting:-legs-straight,817.696825892,1.15207019474,817.790621112,12051.5591522,21168.7599779,201409.648386,1.50669642857,12822.0148163,8.63839285714,10163.2604011,1.50669642857,11619.4002165,7.480755965e-06
Dominant-Wrist,sitting:-legs-straight,817.36755518,1.2254947052,817.373231761,12017.4241,20776.4676257,153812.568924,5.82589285714,5611.3159169,9.140625,3871.26444858,0.803571428571,3289.20703106,3.78765721025e-05
Dominant-Wrist,sitting:-legs-straight,817.189191091,1.07653393759,817.293704858,11933.8210142,20950.2569913,142988.563156,12.9720670391,5377.40338587,7.74301675978,4384.39626409,1.60893854749,1988.62100006,9.07210111966e-05
Dominant-Wrist,sitting:-legs-straight,816.843178526,1.00445456186,816.783937158,12041.6225236,21037.4322815,127716.576138,6.65173572228,3733.52037207,7.86114221725,2604.37006377,1.61254199328,2524.28033211,5.20820078602e-05
Dominant-Wrist,sitting:-legs-straight,816.949319328,1.35060792472,816.807198793,12092.6960187,21147.272992,250136.495857,0.602006688963,19870.9809328,0.301003344482,13742.7259581,1.40468227425,5176.97313814,2.40671273059e-06
Dominant-Wrist,sitting:-legs-straight,816.510607414,1.39351870451,816.671292504,9359.35083219,16339.1272717,76458.5676677,0.333951762523,6119.78525486,1.16883116883,2654.24061117,1.16883116883,3210.17201829,4.36774808514e-06
Dominant-Wrist,sitting:-legs-straight,812.380862169,15.5766702039,814.146178521,11856.3973871,20747.5122605,53103007.413,1.71332586786,5196852.56114,1.91489361702,3449343.49924,1.71332586786,3754203.21238,3.22641965366e-08
