SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
Dominant-Wrist,sitting:-legs-straight,857.463908248,3.31155024792,857.67418056,12769.1124985,22112.1138067,1140410.41297,0.301339285714,281551.934261,0.502232142857,74245.3268508,0.904017857143,57044.3392692,2.64237578232e-07
Dominant-Wrist,sitting:-legs-straight,858.656784086,1.01567567588,858.698433677,12745.6336445,22231.2301729,145775.29376,8.51893095768,6177.36639751,11.7260579065,4445.87148029,1.40311804009,3785.83729179,5.84387843644e-05
Dominant-Wrist,sitting:-legs-straight,858.762492899,1.15024860408,858.800908244,12569.9543356,22149.7805858,177722.328428,0.503355704698,5892.4046657,2.21476510067,5291.63164488,2.21476510067,5012.80338196,2.83225922792e-06
Dominant-Wrist,sitting:-legs-straight,858.850510558,0.982026078736,858.800908244,12515.8236645,21424.8391359,119853.132647,10.101010101,6050.80267319,7.77777777778,3551.29385168,2.22222222222,2823.33592579,8.42782318486e-05
Dominant-Wrist,sitting:-legs-straight,858.963191996,1.21874918783,858.951104546,12688.5779345,22320.4613752,308208.351072,3.59201773836,12752.2616427,4.39024390244,12001.5683323,1.09756097561,4001.84526779,1.1654511391e-05
Dominant-Wrist,sitting:-legs-straight,859.354640675,1.02255622484,859.386990825,12552.0052183,21454.0458422,133321.965369,3.92617449664,4611.78334272,10.2684563758,3883.16844945,1.91275167785,2382.09341859,2.94488195233e-05
Dominant-Wrist,sitting:-legs-straight,857.353146198,2.00172735166,857.473614754,12355.0987451,22004.801067,564039.896536,4.1742081448,32996.7801255,2.95248868778,31462.7199268,1.11990950226,15613.4684443,7.40055476648e-06
Dominant-Wrist,sitting:-legs-straight,856.959166234,1.16455405204,856.985414112,12659.8008673,21851.8451166,269801.794266,4.07239819005,25400.0232174,3.76696832579,20511.5551624,1.62895927602,4777.1943976,1.5094036721e-05
Dominant-Wrist,sitting:-legs-straight,856.184962639,1.2313849914,856.347476203,12204.7391615,22330.0189655,295947.953816,2.55737704918,13180.5642565,4.03278688525,12517.2354411,0.983606557377,6659.70151934,8.64130674398e-06
Dominant-Wrist,sitting:-legs-straight,855.931976077,1.15343196489,855.860970018,11869.3713397,22126.2577496,256067.953531,4.93288590604,14684.9975743,5.23489932886,13352.3682186,2.61744966443,2123.94553136,1.92639720747e-05
