SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
Dominant-Wrist,sitting:-legs-straight,883.201746127,3.44853558417,883.966628329,13069.1266732,22820.0890445,2630854.55487,0.402234636872,115269.949881,2.11173184358,109280.355043,2.11173184358,106172.467522,1.52891248255e-07
Dominant-Wrist,sitting:-legs-straight,885.789105918,1.066816681,885.849874414,13147.6719232,22640.6307774,134226.677791,8.02675585284,6308.0700011,1.90635451505,4552.3158379,1.90635451505,4338.64712129,5.98000038811e-05
Dominant-Wrist,sitting:-legs-straight,888.080298567,2.24473052144,887.579292233,13193.6422189,22960.1403959,488000.700679,0.702341137124,30366.656235,0.301003344482,26411.0697012,0.702341137124,21360.5366127,1.43922157519e-06
Dominant-Wrist,sitting:-legs-straight,889.354849166,1.42413427031,889.292977595,13135.5665276,22988.5519118,371570.600519,0.602678571429,28074.3043067,0.502232142857,17618.9709463,1.60714285714,6935.27338546,1.62197593294e-06
Dominant-Wrist,sitting:-legs-straight,886.754658365,2.63308545991,886.700062028,13088.0258634,22759.6490527,1090332.79885,0.402684563758,28713.35024,2.51677852349,22125.9450895,0.805369127517,15927.8905662,3.69322617996e-07
Dominant-Wrist,sitting:-legs-straight,888.066960177,1.07200073089,888.083329424,13151.7515564,22471.4325311,151971.547437,5.43624161074,8682.7476031,1.91275167785,6349.81944646,1.91275167785,6562.51290318,3.5771443421e-05
Dominant-Wrist,sitting:-legs-straight,888.757474147,1.13418505859,888.772749357,12828.2828157,22975.0033297,173493.771165,8.05369127517,4669.56899909,9.36241610738,4643.7195975,1.81208053691,2919.84088952,4.6420636436e-05
Dominant-Wrist,sitting:-legs-straight,889.156000533,1.03891377384,889.277234612,13228.3929107,22935.0239154,155017.464239,2.91620111732,7307.81794395,11.2625698324,6557.55908136,1.60893854749,2611.96854535,1.88120811525e-05
Dominant-Wrist,sitting:-legs-straight,889.102723709,1.61488495846,889.277234612,13217.4306126,22772.5794103,662277.290079,9.140625,22331.5105046,9.84375,22004.4380815,1.70758928571,8434.45059947,1.38018095093e-05
Dominant-Wrist,sitting:-legs-straight,889.47696553,1.89490561501,889.479623151,13248.8602529,22986.7850732,917753.687213,11.3377926421,36303.4719304,10.7357859532,33848.445411,1.80602006689,10385.2291426,1.23538513657e-05
Dominant-Wrist,sitting:-legs-straight,891.039419368,1.85208715415,891.024691016,13214.276068,23046.202941,968990.383366,10.3575418994,57079.5206948,9.5530726257,45472.9319868,0.703910614525,5171.33230851,1.06890038098e-05
Dominant-Wrist,sitting:-legs-straight,890.999693485,5.18715823589,890.879902119,13247.8337852,23080.5102847,9222489.00277,7.30812013348,421540.734264,10.4115684093,322959.404361,1.80200222469,73018.1231371,7.92423838216e-07
Dominant-Wrist,sitting:-legs-straight,895.125864125,3.63026476487,895.208355636,13059.1528056,22907.8064205,2940154.65608,0.615735461802,167448.948486,0.820980615735,154567.281213,0.820980615735,172311.343251,2.09422814044e-07
Dominant-Wrist,sitting:-legs-straight,897.036564932,1.64839360436,896.917777716,13154.1922215,22992.5134555,537909.452663,0.406320541761,31503.6234319,10.8690744921,29597.7936077,1.62528216704,10085.2349008,7.55369774131e-07
Dominant-Wrist,sitting:-legs-straight,897.224491562,2.06402978536,897.234640437,13182.4912289,22783.5474411,974922.042656,8.9289740699,38328.501566,10.4509582864,33840.0376467,0.913190529876,13471.3795943,9.15865441464e-06
Dominant-Wrist,sitting:-legs-straight,898.149989453,2.03090946305,898.087412227,13991.8010635,24277.9366092,1401386.10895,10.2251791198,64593.6299366,8.29068577277,41051.843355,0.736949846469,15613.4500677,7.2964752929e-06
Dominant-Wrist,sitting:-legs-straight,898.385584384,8.12276087274,898.460349618,13295.1772083,22972.2600542,21987345.4816,1.29711751663,1248370.62202,1.19733924612,1238765.55502,0.9977827051,208645.619656,5.89938206827e-08
Dominant-Wrist,sitting:-legs-straight,887.302574279,24.1964072134,883.50466891,13120.0179878,22899.8110254,123507697.034,9.2,2041512.64053,9.3,1939557.046,0.7,904010.683716,7.44892846434e-08
Dominant-Wrist,sitting:-legs-straight,898.42300946,2.55922097269,898.14085755,13405.1220435,23297.3718475,1632849.24372,0.696902654867,157393.515024,0.597345132743,110240.918361,0.696902654867,147322.863275,4.26801590869e-07
Dominant-Wrist,sitting:-legs-straight,897.682506616,1.10531606787,897.572281212,12353.996317,22786.1594833,167796.815544,0.626450116009,8672.06064853,0.522041763341,5096.09773975,0.626450116009,6411.19540806,3.73338501079e-06
Dominant-Wrist,sitting:-legs-straight,899.105291931,1.58200671969,899.285827754,13632.0713393,23788.2979635,263353.720235,0.478723404255,28228.6327169,0.574468085106,19670.8076052,0.574468085106,7552.14438072,1.81779624692e-06
Dominant-Wrist,sitting:-legs-straight,900.378686326,2.09879774063,900.011111043,12767.526072,23266.9619418,769512.858071,12.2271714922,23583.8492637,11.3251670379,21801.6465574,1.30289532294,7341.01459803,1.58894960155e-05
Dominant-Wrist,sitting:-legs-straight,894.382763566,5.50713927374,892.663990536,12981.7458764,23120.6905822,3527409.96735,0.300668151448,721610.652846,0.400890868597,300549.792463,0.701559020045,180746.099815,8.52376543217e-08
Dominant-Wrist,sitting:-legs-straight,891.204344635,1.21860913809,891.282783408,13225.3254024,22899.2588963,170793.422018,1.10738255034,8035.71392785,5.43624161074,5455.57845979,1.10738255034,5795.22154707,6.48375410042e-06
Dominant-Wrist,sitting:-legs-straight,846.723765569,37.9353138267,821.864952221,8553.8913367,15227.3163427,28023777.4578,1.20535714286,4692949.27804,0.401785714286,4255467.2188,1.20535714286,4782019.63737,4.30119438635e-08
Dominant-Wrist,sitting:-legs-straight,817.147948059,9.72701096983,818.556045729,12093.5064394,20968.5009717,29111819.0157,0.500556173526,2899907.04148,0.700778642937,1972254.03843,0.901001112347,1925013.92059,1.7194259598e-08
Dominant-Wrist,sitting:-legs-straight,817.125136261,5.78699995799,817.247820431,12027.0389124,21130.0679365,10101518.0738,0.401785714286,2091768.25304,0.502232142857,1313086.13642,0.602678571429,303398.859861,3.97747854681e-08
Dominant-Wrist,sitting:-legs-straight,823.779682635,3.04869199123,823.789414839,12271.2373459,21321.1658687,1541918.95718,0.401785714286,218861.753888,0.502232142857,141038.614952,0.904017857143,70522.3774002,2.60575118046e-07
Dominant-Wrist,sitting:-legs-straight,826.875410462,1.01539174217,826.912329089,11906.2340814,21343.8937872,117828.332043,9.84375,4347.15564039,11.7522321429,3661.55141368,1.80803571429,2109.51837348,8.35431498463e-05
Dominant-Wrist,sitting:-legs-straight,826.90845727,1.03204159345,827.007859697,12189.2805366,21021.543069,121160.002217,5.44232922732,5156.25833459,4.23292273236,4450.58266703,0.806270996641,2489.27557877,4.49185302719e-05
Dominant-Wrist,sitting:-legs-straight,826.735070886,1.14546403893,826.656518755,11901.6223684,21403.1938738,131679.38437,3.8127090301,4320.81192081,14.1471571906,3987.65139163,1.10367892977,2267.02653297,2.89544870545e-05
Dominant-Wrist,sitting:-legs-straight,825.847474989,1.25109653554,825.943097314,12169.5283393,21395.1462019,185364.134595,8.83928571429,7404.80639763,9.64285714286,6047.04404707,0.904017857143,1683.82623134,4.76860625364e-05
Dominant-Wrist,sitting:-legs-straight,825.521801506,1.16482137831,825.438671253,11740.4551019,21211.2350654,146896.263049,10.202020202,5326.00706547,9.79797979798,3181.20480041,1.21212121212,2116.10127053,6.94505087486e-05
Dominant-Wrist,sitting:-legs-straight,825.575781294,1.42001326274,825.554964857,12107.6085996,21354.5156115,261249.763577,10.7119021135,9468.04864264,6.20689655172,8591.90015171,0.800889877642,4106.99277594,4.1002533234e-05
Dominant-Wrist,sitting:-legs-straight,825.407867607,1.03828887869,825.341747399,12278.9787849,20917.9507122,143323.160644,8.45637583893,4353.43357977,13.8926174497,4078.21088952,1.30872483221,2184.47311573,5.90021584853e-05
