SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
Dominant-Wrist,sitting:-legs-straight,892.388330526,1.39214852204,892.30656167,13331.4652233,23100.5442144,268901.922362,1.40625,15083.4413943,0.803571428571,12267.2551869,1.40625,14763.2618339,5.22960188476e-06
Dominant-Wrist,sitting:-legs-straight,893.25936209,3.00699638812,892.805689946,13084.2495773,23037.9252321,2968311.70677,0.903010033445,408283.487283,0.702341137124,382065.043558,0.903010033445,391384.893422,3.0421671396e-07
Dominant-Wrist,sitting:-legs-straight,893.960422502,1.06056451614,893.930646079,12811.2332349,22832.1381171,138431.266119,11.9325842697,5091.10307474,2.73033707865,4608.0347042,2.32584269663,2719.60833856,8.61986211945e-05
Dominant-Wrist,sitting:-legs-straight,894.521768962,1.98388965198,894.267856965,13387.4050137,23218.5474352,1036598.79576,0.699223085461,88946.682143,0.799112097669,62323.3045885,0.699223085461,82444.3192486,6.74535884398e-07
Dominant-Wrist,sitting:-legs-straight,897.456959808,3.05883344769,896.837220459,13206.2208447,23229.770425,2717639.0531,0.401337792642,323610.122971,0.501672240803,174750.643327,0.702341137124,108284.472402,1.47678843584e-07
Dominant-Wrist,sitting:-legs-straight,892.949641901,5.78068834858,895.627712836,13240.9276488,23066.657777,2748160.76255,0.402234636872,597793.243252,0.502793296089,228698.987135,0.905027932961,85980.9620737,1.46365031607e-07
Dominant-Wrist,sitting:-legs-straight,889.129771242,1.27629629781,889.071425702,13282.5232919,22948.9348119,193272.912464,0.401337792642,12001.6147048,0.501672240803,9844.22182138,1.30434782609,7341.07424322,2.0765340964e-06
Dominant-Wrist,sitting:-legs-straight,894.747109428,3.31613656935,895.420013178,13233.7891399,22937.7037866,1980729.57189,0.301675977654,261809.924799,0.402234636872,129599.937974,0.905027932961,63669.056155,1.52305484774e-07
Dominant-Wrist,sitting:-legs-straight,897.759898113,2.19317883253,897.862461628,13030.6344435,23181.8518242,837362.464948,0.402234636872,65912.3513713,0.502793296089,60436.570177,0.905027932961,27926.3040671,4.80359048452e-07
Dominant-Wrist,sitting:-legs-straight,898.151363449,1.97416015498,898.352937325,13405.0312943,23175.8101261,706551.126411,0.502232142857,65405.3759383,0.401785714286,51420.6605976,1.10491071429,25462.1450904,7.10822082201e-07
Dominant-Wrist,sitting:-legs-straight,894.008823655,6.70662417466,894.710008886,13224.979206,23121.2919405,6110439.59406,0.401785714286,1887743.30456,0.301339285714,1167441.7296,0.703125,306001.617583,6.57539785969e-08
Dominant-Wrist,sitting:-legs-straight,893.819276663,4.3138203198,893.509932793,13031.2660935,23102.6888911,2010381.94228,0.502793296089,313770.190579,0.301675977654,292867.694002,1.00558659218,173547.535501,2.50098394497e-07
Dominant-Wrist,sitting:-legs-straight,894.290128669,2.61076598059,894.197405498,12975.6684221,23117.1732701,498795.791849,0.400890868597,44643.7347548,1.10244988864,29945.7095858,1.10244988864,24155.0597473,8.03717423338e-07
Dominant-Wrist,sitting:-legs-straight,893.847480104,3.51538438159,893.513290332,13237.9626454,23085.2804835,3394874.4184,0.704697986577,442355.020138,0.503355704698,418536.200866,0.906040268456,292762.998039,2.0757704107e-07
Dominant-Wrist,sitting:-legs-straight,887.122775341,8.9916623361,886.826927873,13163.7844483,22923.2755731,22150792.111,1.10122358176,1356538.399,0.901001112347,1087600.30789,1.10122358176,962382.220231,4.97148623959e-08
Dominant-Wrist,sitting:-legs-straight,887.45420333,1.64179008257,887.339281222,12740.5656468,22728.973096,593837.900625,0.401785714286,72180.362257,0.301339285714,24127.3004634,1.00446428571,21900.4440673,6.76591564572e-07
Dominant-Wrist,sitting:-legs-straight,889.071364441,2.67900871133,888.543189721,12511.6806225,22377.8158452,2101529.51863,0.502793296089,183360.93159,0.603351955307,179722.040887,0.804469273743,174615.796146,2.392511224e-07
Dominant-Wrist,sitting:-legs-straight,888.947041367,1.2853214993,888.885819439,13160.9948332,22857.7510486,291342.683102,0.402684563758,37466.8269157,0.503355704698,27309.2798476,0.906040268456,17108.6101757,1.38216810345e-06
Dominant-Wrist,sitting:-legs-straight,885.111781924,4.78282327265,884.249964659,13053.8455254,22874.9757814,4346230.47117,0.502793296089,953126.580351,0.402234636872,340351.183103,0.804469273743,202370.320429,1.15684913496e-07
