,SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
25,Dominant-Wrist,sitting:-legs-straight,835.3215431,1.047239508,835.420852,12055.24293,21268.00616,174720.584,5.704918033,6215.970731,0.983606557,5856.980958,0.983606557,5507.454879,3.27E-05
26,Dominant-Wrist,sitting:-legs-straight,835.4616102,1.15940772,835.4579576,12027.0427,21854.22318,200229.7862,5.711159737,7923.769167,4.529540481,6757.848601,1.772428884,4463.084931,2.85E-05
27,Dominant-Wrist,sitting:-legs-straight,835.6199104,3.193309344,835.420852,12506.82562,21868.60569,3084947.746,0.3930131,146105.9576,3.635371179,132145.0842,0.687772926,59086.46317,1.27E-07
28,Dominant-Wrist,sitting:-legs-straight,833.3296133,3.340101359,833.6288143,8980.418476,16861.10471,551926.8455,0.163934426,23272.32799,0.327868852,22470.94893,2.459016393,1606.513887,2.97E-07
29,Dominant-Wrist,sitting:-legs-straight,822.0847958,13.49749171,822.3052961,9446.007728,16578.88808,22375262.64,1.639344262,3041353.234,1.31147541,2408307.04,1.639344262,2604565.939,7.33E-08
30,Dominant-Wrist,sitting:-legs-straight,831.9153738,13.80975107,829.6059305,12408.04239,21644.02372,66883588.89,0.590163934,7094944.328,0.491803279,6667453.716,0.885245902,4565899.424,8.82E-09
31,Dominant-Wrist,sitting:-legs-straight,833.3224476,9.284715774,831.2610902,12386.88145,21680.328,18443005.37,0.394736842,2460069.488,0.296052632,1552988.879,0.986842105,672701.0134,2.14E-08
32,Dominant-Wrist,sitting:-legs-straight,830.8663097,5.681285998,830.5516239,12341.70677,21718.78661,10256735.75,2.456331878,466085.8113,0.3930131,431466.5448,0.786026201,366443.4764,2.39E-07
33,Dominant-Wrist,sitting:-legs-straight,832.9150256,15.75504292,830.4854002,12398.41929,21653.25317,60302932.95,0.590163934,10205681.12,0.491803279,6827609.891,0.786885246,3282994.535,9.79E-09
34,Dominant-Wrist,sitting:-legs-straight,830.4300119,4.532125729,830.1813055,12489.70016,21688.6539,5583813.435,0.393873085,922294.365,0.492341357,573081.5877,1.969365427,166215.062,7.05E-08
35,Dominant-Wrist,sitting:-legs-straight,834.3622389,7.032686908,833.0558205,12338.7781,21779.79729,16639230.54,0.68852459,1526185.712,0.786885246,1401883.471,0.786885246,1616813.384,4.14E-08
36,Dominant-Wrist,sitting:-legs-straight,834.373114,8.934795571,832.3442797,12518.28099,21774.40479,20763600.34,0.294438386,1225277.064,2.061068702,1060125.158,1.177753544,1005327.605,1.42E-08
37,Dominant-Wrist,sitting:-legs-straight,829.5599952,6.708928831,829.9789154,12440.37154,21566.36061,14170969.26,0.393873085,2752202.925,0.492341357,1863313.609,1.378555799,657674.9305,2.78E-08
38,Dominant-Wrist,sitting:-legs-straight,833.9583605,12.23775406,831.2622931,12440.09003,21714.04085,54370136.63,0.687022901,9559660.802,0.588876772,5358693.989,0.687022901,8204289.027,1.26E-08
39,Dominant-Wrist,sitting:-legs-straight,833.1571506,8.555425917,832.9867946,12430.56447,21703.43464,24137481.5,0.690789474,2508971.666,0.789473684,1758799.671,0.789473684,1927702.021,2.86E-08
40,Dominant-Wrist,sitting:-legs-straight,835.2358928,10.51309664,832.9165624,12527.70693,21787.71555,32166490.97,0.588235294,3736208.235,1.176470588,2292791.195,1.176470588,1723312.965,1.83E-08
41,Dominant-Wrist,sitting:-legs-straight,837.3686153,8.457843212,836.7138101,12518.62021,21818.18336,21309047.05,0.590809628,2452873.07,0.393873085,2244639.069,1.673960613,784407.897,2.77E-08
42,Dominant-Wrist,sitting:-legs-straight,830.40424,6.048394277,829.5378231,12470.01556,21696.78082,11352860.98,0.294759825,819140.5592,0.884279476,797653.1006,0.884279476,758128.1309,2.60E-08
43,Dominant-Wrist,sitting:-legs-straight,830.8880975,5.187514965,830.6178423,12420.95556,21682.2853,8602070.972,0.492341357,484456.4555,0.689277899,474523.8488,0.787746171,515830.8037,5.72E-08
44,Dominant-Wrist,sitting:-legs-straight,833.1648625,6.876210846,832.2757956,12470.5979,21712.44894,15786212.39,0.591456736,1832541.224,3.154435926,744468.1935,0.887185104,681809.7415,3.75E-08
45,Dominant-Wrist,sitting:-legs-straight,831.4296292,5.047174661,831.3062011,9696.554594,16855.23453,2672475.428,8.493647913,202266.628,0.326678766,157493.8553,2.123411978,71615.06705,3.18E-06
46,Dominant-Wrist,sitting:-legs-straight,840.5876848,30.59763136,835.0062872,12265.63109,21696.91978,256724276.9,0.492341357,47903823.96,0.590809628,18618470.19,1.575492341,16128714.07,1.92E-09
47,Dominant-Wrist,sitting:-legs-straight,866.8745066,12.13809063,867.1372432,12885.37337,22589.27553,43425716.13,0.3930131,2955372.409,0.982532751,2421555.687,0.982532751,2467412.898,9.05E-09
48,Dominant-Wrist,sitting:-legs-straight,859.8843837,14.86724229,855.5618003,12758.1414,22333.10666,30250317.95,0.295404814,4160382.725,0.590809628,2424187.306,1.181619256,918433.6133,9.77E-09
49,Dominant-Wrist,sitting:-legs-straight,857.6138107,14.50837097,854.9847952,12781.03047,22321.65422,57520736.54,0.884279476,5193201.975,0.491266376,4221565.42,0.884279476,4501228.753,1.54E-08
50,Dominant-Wrist,sitting:-legs-straight,861.071851,10.54496275,860.0505799,12843.98096,22416.75084,31250423.89,4.135667396,1332744.789,0.787746171,1313124.457,0.787746171,1121063.833,1.32E-07
51,Dominant-Wrist,sitting:-legs-straight,867.3653473,14.32533274,865.2658551,12852.25517,22522.46538,48430338.35,1.084337349,3846588.302,0.492880613,2843220.075,1.084337349,3954624.834,2.24E-08
52,Dominant-Wrist,sitting:-legs-straight,866.1794152,13.10237068,862.1525387,12887.93075,22527.07078,44158559.46,0.392584515,5398899.357,0.588876772,3844576.794,1.275899673,4103284.265,8.89E-09
53,Dominant-Wrist,sitting:-legs-straight,859.8316664,13.47109725,857.1236784,12747.20911,22322.71381,47042513.26,0.591456736,6220811.402,0.295728368,5024108.149,1.872946331,3218559.308,1.26E-08
54,Dominant-Wrist,sitting:-legs-straight,864.9221983,13.22737701,862.8070468,12880.90696,22501.79244,46069309.51,0.491803279,4553225.624,0.786885246,4204923.428,1.770491803,2163688.659,1.07E-08
