,SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
420,Dominant-Thigh,sitting:-legs-straight,794.2250256,0.932286694,794.2052631,11491.90872,20299.94882,111438.2713,7.615384615,3959.793834,10.08791209,2989.555722,0.989010989,2411.53191,6.83E-05
421,Dominant-Thigh,sitting:-legs-straight,794.2396373,0.962713301,794.2619215,11545.94877,20096.46792,123790.1617,4.402173913,4321.232738,10.17391304,3860.797463,1.27173913,3772.007276,3.56E-05
422,Dominant-Thigh,sitting:-legs-straight,794.2778003,1.004635198,794.2619215,11436.21082,20237.67482,168861.2277,3.79049676,9520.425162,3.498920086,5286.797301,1.069114471,2942.214938,2.24E-05
423,Dominant-Thigh,sitting:-legs-straight,794.3355435,0.973839085,794.2619215,8467.245597,16153.90541,46138.75276,0.815217391,2164.288621,3.75,1968.954182,0.815217391,1497.667975,1.77E-05
424,Dominant-Thigh,sitting:-legs-straight,794.1135965,1.595356449,794.1347493,9306.54517,15967.25859,204472.166,1.630434783,23330.48529,1.467391304,18647.44312,1.467391304,17371.25362,7.97E-06
425,Dominant-Thigh,sitting:-legs-straight,794.1744257,1.535107014,794.2619215,11962.22843,20601.99806,587622.4616,1.776315789,33754.77416,3.256578947,32786.73617,1.776315789,26091.03377,3.02E-06
426,Dominant-Thigh,sitting:-legs-straight,793.1653853,1.362388844,793.1166371,11976.36493,20759.02731,484334.9104,3.42019544,26864.19655,2.149837134,23134.25726,2.149837134,18006.51061,7.06E-06
427,Dominant-Thigh,sitting:-legs-straight,793.3939327,1.06394064,793.5168555,11504.16598,20631.43606,213134.6394,1.967213115,8261.731776,2.459016393,8098.337799,1.967213115,7969.860984,9.23E-06
428,Dominant-Thigh,sitting:-legs-straight,793.6099865,1.218356965,793.6428668,11960.55697,20497.56139,369710.3335,2.852459016,35610.99713,3.344262295,33552.34526,1.672131148,14157.74799,7.72E-06
429,Dominant-Thigh,sitting:-legs-straight,793.6710969,1.054766975,793.6428668,11644.34837,20346.35736,234978.5717,2.94438386,16661.42037,3.631406761,9037.816925,2.25736096,3849.733801,1.25E-05
430,Dominant-Thigh,sitting:-legs-straight,793.7526449,1.093638102,793.6970455,11260.89206,20762.34035,230218.3381,3.347921225,12094.49607,2.95404814,11450.65369,2.067833698,8998.791328,1.45E-05
431,Dominant-Thigh,sitting:-legs-straight,793.6761803,1.17037673,793.6428668,12014.95572,20606.9736,323332.735,3.423913043,27732.63878,3.619565217,21456.04357,1.663043478,5197.105393,1.06E-05
432,Dominant-Thigh,sitting:-legs-straight,794.0443288,1.282306999,794.1750437,11859.51411,20600.34973,428308.0334,2.846237732,49227.26811,2.649945474,39347.73453,2.159214831,14716.46089,6.65E-06
433,Dominant-Thigh,sitting:-legs-straight,793.8446701,1.034350057,793.7713777,11565.81709,20689.19283,202267.4233,2.652838428,12108.59288,2.554585153,8037.757703,2.652838428,3627.403914,1.31E-05
434,Dominant-Thigh,sitting:-legs-straight,793.2499957,7.489320531,793.9023869,11909.84987,20730.599,20223961.68,4.023991276,789207.9821,4.122137405,670018.8732,1.570338059,226473.399,1.99E-07
435,Dominant-Thigh,sitting:-legs-straight,790.6465801,1.134012193,790.6756604,11890.07944,20019.72305,289986.5176,3.245901639,16690.16026,2.557377049,13833.39055,1.770491803,11082.15296,1.12E-05
436,Dominant-Thigh,sitting:-legs-straight,790.6496409,1.091416584,790.6162154,11944.12835,20283.94905,237364.3081,3.72955289,15702.94988,2.94438386,13141.19514,1.374045802,7778.301059,1.57E-05
437,Dominant-Thigh,sitting:-legs-straight,790.6245818,1.133059367,790.6162154,11732.22528,20679.92099,280813.478,3.635371179,18605.7535,2.554585153,11391.95976,1.866812227,8317.161741,1.29E-05
438,Dominant-Thigh,sitting:-legs-straight,790.6504561,1.038068038,790.6756604,11918.55197,20098.41252,228795.9002,3.042529989,15907.50001,2.846237732,11865.60604,2.25736096,2965.292465,1.33E-05
